country,cc
Afghanistan,#874D96
Albania,#D2ECB1
Algeria,#A34F06
Angola,#C96C0C
Argentina,#C62026
Australia,#313695
Austria,#92C858
Bahrain,#E7D4E8
Bangladesh,#5B1567
Belgium,#6DAD35
Benin,#EA952F
Bolivia,#F57748
Bosnia and Herzegovina,#BFE492
Botswana,#FDC37B
Brazil,#AD0826
Bulgaria,#8AC34F
Burkina Faso,#BE6209
Burundi,#E79029
Cambodia,#B797C6
Cameroon,#BA5F08
Canada,#CE2726
Central African Republic,#F5AA4E
Chad,#DE8013
Chile,#E04430
China,#40004B
Colombia,#BE1826
Comoros,#FDD6A2
"Congo, Dem. Rep.",#8B4107
"Congo, Rep.",#F7AE55
Costa Rica,#FDB668
Cote d'Ivoire,#B75C07
Croatia,#C6E79C
Cuba,#EF623E
Czech Republic,#7BB93E
Denmark,#A2D26B
Djibouti,#FDDCAF
Dominican Republic,#F46D43
Ecuador,#E54E35
Egypt,#833D07
El Salvador,#FA9856
Equatorial Guinea,#FDD9A8
Eritrea,#F3A548
Ethiopia,#873F07
Finland,#B2DD7E
France,#31701B
Gabon,#FDCA88
Gambia,#FDC074
Germany,#276419
Ghana,#AB5406
Greece,#599C28
Guatemala,#EA5839
Guinea,#E18417
Guinea-Bissau,#FDC681
Haiti,#F7824D
Honduras,#F88D51
"Hong Kong, China",#BC9ECA
Hungary,#5FA12D
Iceland,#E6F5D0
India,#460552
Indonesia,#4D0A59
Iran,#762A83
Iraq,#9467A5
Ireland,#CCE9A7
Israel,#C2A5CF
Italy,#3B7D1D
Jamaica,#FDD788
Japan,#611A6D
Jordan,#C6AAD2
Kenya,#9B4A06
"Korea, Dem. Rep.",#9E76AF
"Korea, Rep.",#7E3B8C
Kuwait,#E2CEE4
Lebanon,#D4BCDB
Lesotho,#FDBD6E
Liberia,#FCB661
Libya,#EE9D3C
Madagascar,#B35806
Malawi,#C2650A
Malaysia,#9970AB
Mali,#D37610
Mauritania,#FAB25B
Mauritius,#FDCD8E
Mexico,#B51026
Mongolia,#DDC8E1
Montenegro,#DFF2C5
Morocco,#9F4D06
Mozambique,#AF5606
Myanmar,#834492
Namibia,#FDBA67
Nepal,#8B559B
Netherlands,#529624
New Zealand,#4575B4
Nicaragua,#FDAE61
Niger,#C5690B
Nigeria,#7F3B08
Norway,#B9E188
Oman,#D9C2DE
Pakistan,#540F60
Panama,#FDCF80
Paraguay,#FBA35B
Peru,#D73027
Philippines,#681F75
Poland,#468A1F
Portugal,#66A731
Puerto Rico,#FDBE70
Reunion,#FDD39B
Romania,#4B9020
Rwanda,#E58C23
Sao Tome and Principe,#FEE0B6
Saudi Arabia,#905EA1
Senegal,#D0730F
Serbia,#74B33A
Sierra Leone,#EC9936
Singapore,#CBB0D5
Slovak Republic,#AAD875
Slovenia,#D9EFBB
Somalia,#E3881D
South Africa,#8F4407
Spain,#41831E
Sri Lanka,#AD8ABD
Sudan,#934607
Swaziland,#FDD095
Sweden,#82BE45
Switzerland,#9ACD62
Syria,#B291C1
Taiwan,#A37DB3
Tanzania,#974807
Thailand,#7A3288
Togo,#F1A142
Trinidad and Tobago,#FEE090
Tunisia,#DA7D12
Turkey,#2C6A1A
Uganda,#A75106
United Kingdom,#36771C
United States,#A50026
Uruguay,#FDC778
Venezuela,#DB3A2B
Vietnam,#6F247B
West Bank and Gaza,#CFB6D8
"Yemen, Rep.",#A883B8
Zambia,#D77911
Zimbabwe,#CC6F0D
