CompPrice,Income,Advertising,Population,Price,ShelveLoc,Age,Education,Urban,US,High
138,73,11,276,120,0,42,17,1,1,Yes
111,48,16,260,83,1,65,10,1,1,Yes
113,35,10,269,80,2,59,12,1,1,Yes
117,100,4,466,97,2,55,14,1,1,No
141,64,3,340,128,0,38,13,1,0,No
124,113,13,501,72,0,78,16,0,1,Yes
115,105,0,45,108,2,71,15,1,0,No
136,81,15,425,120,1,67,10,1,1,Yes
132,110,0,108,124,2,76,10,0,0,No
132,113,0,131,124,2,76,17,0,1,No
121,78,9,150,100,0,26,10,0,1,Yes
117,94,4,503,94,1,50,13,1,1,Yes
122,35,2,393,136,2,62,18,1,0,No
115,28,11,29,86,1,53,18,1,1,Yes
107,117,11,148,118,1,52,18,1,1,Yes
149,95,5,400,144,2,76,18,0,0,Yes
118,32,0,284,110,1,63,13,1,0,No
147,74,13,251,131,1,52,10,1,1,Yes
110,110,0,408,68,1,46,17,0,1,Yes
129,76,16,58,121,2,69,12,1,1,Yes
125,90,2,367,131,2,35,18,1,1,No
134,29,12,239,109,1,62,18,0,1,Yes
128,46,6,497,138,2,42,13,1,0,No
121,31,0,292,109,2,79,10,1,0,No
145,119,16,294,113,0,42,12,1,1,Yes
139,32,0,176,82,1,54,11,0,0,Yes
107,115,11,496,131,1,50,11,0,1,Yes
98,118,0,19,107,2,64,17,1,0,No
103,74,0,359,97,0,55,11,1,1,No
104,99,15,226,102,0,58,17,1,1,No
125,94,0,447,89,1,30,12,1,0,Yes
136,58,16,241,131,2,44,18,1,1,Yes
107,32,12,236,137,1,64,10,0,1,No
114,38,13,317,128,1,50,16,1,1,Yes
115,54,0,406,128,2,42,17,1,1,No
131,84,11,29,96,2,44,17,0,1,Yes
122,76,0,270,100,1,60,18,0,0,Yes
121,41,5,412,110,2,54,10,1,1,No
109,73,0,454,102,2,65,15,1,0,No
130,60,0,144,138,0,38,10,0,0,No
119,98,0,18,126,0,73,17,0,0,No
157,53,0,403,124,0,58,16,1,0,No
77,69,0,25,24,2,50,18,1,0,Yes
123,42,11,16,134,2,59,13,1,1,No
85,79,6,325,95,2,69,13,1,1,No
141,63,0,168,135,0,44,12,1,1,No
127,90,14,16,70,2,48,15,0,1,Yes
126,98,0,173,108,0,55,16,1,0,No
116,52,0,349,98,0,69,18,1,0,No
157,93,0,51,149,1,32,17,1,0,Yes
99,32,18,341,108,0,80,16,1,1,No
121,90,0,150,108,0,75,16,1,0,No
153,40,3,112,129,0,39,18,1,1,No
109,64,13,39,119,2,61,17,1,1,No
134,103,13,25,144,2,76,17,0,1,No
143,81,5,60,154,2,61,18,1,1,No
133,82,0,54,84,2,50,17,1,0,Yes
93,91,0,22,117,0,75,11,1,0,No
103,93,15,188,103,0,74,16,1,1,No
118,71,4,148,114,2,80,13,1,0,No
122,102,19,469,123,0,29,13,1,1,Yes
105,32,0,358,107,2,26,13,0,0,No
139,45,0,146,133,0,77,17,1,1,No
119,88,10,170,101,2,61,13,1,1,Yes
100,67,12,184,104,2,32,16,0,1,No
122,26,0,197,128,2,55,13,0,0,No
127,92,0,508,91,2,56,18,1,0,Yes
126,61,14,152,115,2,47,16,1,1,Yes
149,69,20,366,134,1,60,13,1,1,Yes
127,59,0,339,99,2,65,12,1,0,No
89,81,15,237,99,1,74,12,1,1,Yes
148,51,16,148,150,2,58,17,0,1,No
115,45,0,432,116,2,25,15,1,0,No
118,90,10,54,104,1,31,11,0,1,Yes
150,68,5,125,136,2,64,13,0,1,No
88,111,23,480,92,0,36,16,0,1,Yes
102,87,10,346,70,2,64,15,1,1,Yes
118,71,12,44,89,2,67,18,0,1,No
134,48,1,139,145,2,65,12,1,1,No
134,67,0,286,90,0,41,13,1,0,Yes
113,100,16,353,79,0,68,11,1,1,Yes
116,72,0,237,128,1,70,13,1,0,No
151,83,4,325,139,1,28,17,1,1,Yes
109,36,7,468,94,0,56,11,1,1,No
111,25,0,52,121,0,43,18,0,0,No
125,103,0,304,112,2,49,13,0,0,Yes
150,84,9,432,134,2,64,15,1,0,Yes
131,67,7,272,126,1,54,16,0,1,Yes
117,42,7,144,111,2,62,10,1,1,No
128,66,3,493,119,2,45,16,0,0,No
115,22,0,491,103,2,64,11,0,0,No
97,46,11,267,107,2,80,15,1,1,No
114,113,0,97,125,2,29,12,1,0,No
145,30,0,67,104,2,55,17,1,0,Yes
115,97,5,134,84,0,55,11,1,1,Yes
134,25,10,237,148,2,59,13,1,1,No
147,42,10,407,132,1,73,16,0,1,Yes
161,82,5,287,129,0,33,16,1,1,No
122,77,24,382,127,1,36,16,0,1,Yes
121,47,3,220,107,0,56,16,0,1,No
113,69,11,94,106,2,76,12,0,1,No
128,93,0,89,118,2,34,18,1,0,No
113,22,0,57,97,2,65,16,0,0,No
123,91,0,334,96,0,78,17,1,1,No
121,96,0,472,138,2,51,12,1,0,No
104,100,8,398,97,2,61,11,1,1,No
102,33,0,217,139,2,70,18,0,0,No
134,107,0,104,108,2,60,12,1,0,Yes
107,79,2,488,103,0,65,16,1,0,No
115,65,0,217,90,2,60,17,0,0,Yes
128,62,7,125,116,2,43,14,1,1,Yes
132,118,12,272,151,2,43,14,1,1,No
116,99,5,298,125,1,62,12,1,1,No
131,29,11,335,127,0,33,12,1,1,No
122,87,9,17,106,2,65,13,1,1,Yes
139,35,0,95,129,2,42,13,1,0,Yes
135,75,0,202,128,2,80,10,0,0,No
145,53,0,507,119,2,41,12,1,0,Yes
112,88,2,243,99,2,62,11,1,1,No
130,94,8,137,128,2,64,12,1,1,No
128,105,11,249,131,2,63,13,1,1,No
125,89,10,380,87,0,28,10,1,1,Yes
119,100,5,45,108,2,75,10,1,1,No
127,103,0,125,155,1,29,15,0,1,Yes
131,113,0,181,120,1,63,14,1,0,Yes
89,78,0,181,49,2,43,15,0,0,Yes
153,68,2,60,133,1,59,16,1,1,Yes
125,48,3,192,116,2,51,14,1,1,No
133,100,3,350,126,0,55,13,1,1,No
143,120,7,279,147,0,40,10,0,1,No
94,84,13,497,77,2,51,12,1,1,Yes
108,69,3,208,94,2,77,16,1,0,No
125,87,9,232,136,1,72,10,1,1,Yes
132,98,2,265,97,0,62,12,1,1,No
132,31,0,327,131,2,76,16,1,0,No
96,94,14,384,120,2,36,18,0,1,No
131,75,0,10,120,0,31,18,0,0,No
128,42,0,436,118,2,80,11,1,0,No
125,103,12,371,109,2,44,10,1,1,Yes
146,62,10,310,94,2,30,13,0,1,Yes
133,60,10,277,129,2,45,18,1,1,No
140,42,0,331,131,0,28,15,1,0,No
124,84,0,300,104,2,77,15,1,0,No
122,88,7,36,159,0,28,17,1,1,No
132,68,0,264,123,1,34,11,0,0,Yes
144,63,11,27,117,2,47,17,1,1,Yes
114,83,0,412,131,0,39,14,1,0,No
140,54,9,402,119,1,41,16,0,1,Yes
110,119,0,384,97,2,72,14,0,1,No
121,120,13,140,87,2,56,11,1,1,Yes
122,84,8,176,114,1,57,10,0,1,Yes
111,58,17,407,103,1,75,17,0,1,Yes
128,78,0,341,128,1,45,13,0,0,No
